City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
5,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
8,Rikitea,PF,75.25,overcast clouds,-23.1203,-134.9692,People ThankYou
9,Berasia,IN,84.65,scattered clouds,23.6333,77.4333,golu narwaria
11,Mount Isa,AU,80.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
14,Excelsior Springs,US,76.08,clear sky,39.3392,-94.2261,The Elms Hotel & Spa
15,Tateyama,JP,78.15,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
17,Fukue,JP,79.16,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
29,Namatanai,PG,84.7,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
31,Port Blair,IN,83.52,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
32,Georgetown,MY,87.75,light rain,5.4112,100.3354,Cititel Penang
36,Umm Lajj,SA,85.12,clear sky,25.0213,37.2685,Moon light Furnished Units
38,Joshimath,IN,76.66,clear sky,30.5667,79.5667,Shivalik Camps & Resort
43,Praia,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
46,Cabo San Lucas,MX,82.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
48,Atuona,PF,79.11,light rain,-9.8,-139.0333,Villa Enata
51,Victoria,HK,89.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
52,Tarakan,ID,83.7,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
53,Zyryanka,RU,83.03,few clouds,65.75,150.85,
60,Faanui,PF,80.04,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
61,Riyadh,SA,89.65,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
62,Yumen,CN,77.97,overcast clouds,40.2833,97.2,
67,Les Cayes,HT,77.52,overcast clouds,18.2,-73.75,Villa Orphee
69,San Pedro,PH,89.31,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
72,Shimoda,JP,79.11,light rain,34.6667,138.95,Shimoda Tokyu Hotel
82,Dongning,CN,79.52,broken clouds,44.0622,131.1207,Huayu Hotel
84,Srednekolymsk,RU,79.16,broken clouds,67.45,153.6833,
85,Balabac,PH,86.79,broken clouds,7.9868,117.0645,Sing and Swing Lodge
88,Pflugerville,US,84.83,clear sky,30.4394,-97.62,Comfort Suites Pflugerville - Austin North
89,Progreso,MX,75.31,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
92,Lakhimpur,IN,83.77,overcast clouds,27.95,80.7667,Hotel Sarna
100,Dingle,PH,88.18,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
101,Bengkulu,ID,84.6,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
105,Maningrida,AU,86.61,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
107,Manadhoo,MV,83.66,overcast clouds,5.7667,73.3833,Vevu Guesthouse
108,Tanete,ID,84.67,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
112,Souillac,MU,75.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
113,Manokwari,ID,80.74,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
114,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
116,Laguna De Perlas,NI,79.27,overcast clouds,12.3429,-83.6712,Hotel Best View
117,Meulaboh,ID,84.94,overcast clouds,4.1363,96.1285,Kost Pria
118,Salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
119,Malpe,IN,76.3,light rain,13.35,74.7167,Hotel Sri Krishna Residency
122,Jinchang,CN,75.72,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
124,Hithadhoo,MV,82.74,broken clouds,-0.6,73.0833,Scoop Guest House
132,Port Hedland,AU,84.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
140,Karratha,AU,79.18,clear sky,-20.7377,116.8463,ibis Styles Karratha
142,Akdepe,TM,84.29,clear sky,42.0551,59.3788,Мой дом
144,Genhe,CN,77.11,overcast clouds,50.7833,121.5167,Companionship Hotel
145,Zabol,AF,75.81,clear sky,32.25,67.25,
147,Novo Aripuana,BR,75.52,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
150,Aksu,CN,75.9,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
151,Butaritari,KI,82.4,light rain,3.0707,172.7902,Isles Sunset Lodge
152,Manggar,ID,79.77,moderate rain,-2.8833,108.2667,Guest Hotel
153,Hobyo,SO,78.01,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
156,Galle,LK,81.3,overcast clouds,6.0367,80.217,Amangalla
157,Lokosovo,RU,75.6,overcast clouds,61.1333,74.8167,
161,Rock Sound,BS,81.41,light rain,24.9,-76.2,Rock Sound Club
162,Shimanovsk,RU,82.31,overcast clouds,52.0,127.7,Гостиница Домашняя
163,Ternate,ID,81.77,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
168,Buraydah,SA,81.05,clear sky,26.326,43.975,فندق راحة السلام
170,Bani,DO,80.85,few clouds,18.2833,-70.3333,Hospedaje Henriquez
176,Dong Xoai,VN,85.66,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
179,Bambous Virieux,MU,75.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
180,Trincomalee,LK,85.77,overcast clouds,8.5711,81.2335,Welcombe Hotel
181,Ormara,PK,83.44,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
182,Kavaratti,IN,83.68,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
188,Robat Karim,IR,78.66,clear sky,35.4846,51.0829,لوازم خانگي شايان
199,Leshan,CN,84.72,overcast clouds,29.5623,103.7639,Leshan Haiyun International Youth Hostel
200,Boyolangu,ID,83.35,overcast clouds,-8.1181,111.8935,Yos ega cv
205,Gushikawa,JP,77.0,light intensity drizzle,26.3544,127.8686,Kirari Guest House
206,Cockburn Town,TC,80.46,few clouds,21.4612,-71.1419,Osprey Beach Hotel
209,Tullahoma,US,76.66,few clouds,35.362,-86.2094,Quality Inn
211,Bandarbeyla,SO,82.06,overcast clouds,9.4942,50.8122,JABIR HOTEL
212,Lindsay,US,85.71,clear sky,36.203,-119.0882,Lindsay Inn
216,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
217,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
223,Awbari,LY,75.83,clear sky,26.5921,12.7805,فندق أوباري
228,Varangaon,IN,87.98,overcast clouds,21.0167,75.9,Pramod Tawade
231,Grand Gaube,MU,75.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
235,Kavieng,PG,85.48,clear sky,-2.5744,150.7967,Nusa Island Retreat
243,Shenjiamen,CN,76.24,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
245,Bac Lieu,VN,88.59,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
250,Singaraja,ID,82.98,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
256,Maceio,BR,75.92,broken clouds,-9.6658,-35.7353,Poutur Pousada
262,Phan Thiet,VN,88.48,overcast clouds,10.9333,108.1,Hotel Saigon-PT
271,Matamoros,MX,84.11,broken clouds,25.5333,-103.25,Quinta Belem
273,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
276,Mingyue,CN,83.91,overcast clouds,43.1069,128.9217,安图土地大厦
284,Tevaitoa,PF,79.83,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
285,Yaan,NG,75.51,overcast clouds,7.3833,8.5667,
286,Airai,TL,75.56,broken clouds,-8.9266,125.4092,Juvinal Martin
287,Ndioum,SN,76.21,overcast clouds,16.5129,-14.6471,l'hôtel samassa
290,Maryville,US,77.09,broken clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
294,Shahrud,IR,76.51,clear sky,36.4182,54.9763,Royal Hotel
296,Tahta,EG,80.92,clear sky,26.7693,31.5021,El Salam Hotel
297,Cairns,AU,89.06,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
304,Biak,ID,80.31,overcast clouds,-0.9131,122.8766,Penginapan Kim
305,Sapouy,BF,80.24,broken clouds,11.5544,-1.7736,Auberge St Louis
308,Mahuva,IN,88.66,scattered clouds,21.0914,71.7622,Hotel Blue Diamond.
309,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
311,Chhatapur,IN,82.96,overcast clouds,26.2167,87.0167,Rahul Mukhiya
318,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel
319,Isangel,VU,78.46,scattered clouds,-19.55,169.2667,Tanna Lodge
321,Savannah Bight,HN,82.0,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
324,Kismayo,SO,78.19,overcast clouds,-0.3582,42.5454,Agan-Hotel
326,Padang,ID,86.05,few clouds,-0.9492,100.3543,Mercure Padang
329,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
331,Griffith,US,76.05,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
333,Mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
335,Poya,NC,81.0,scattered clouds,-21.35,165.15,
336,Vaitape,PF,80.02,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
344,Laguna,US,78.62,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
349,Cao Bang,VN,81.61,broken clouds,22.6667,106.25,khách sạn 88
350,Saint Anthony,US,78.85,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
352,Tecoanapa,MX,81.05,overcast clouds,16.5167,-98.75,Hotel Manglares
354,Kidal,ML,85.39,clear sky,18.4411,1.4078,
356,Antiguo Morelos,MX,78.13,broken clouds,22.5495,-99.0812,Iglesia La luz del mundo columna y apoyo de la verdad. Batallón antiguo morelos
357,Ixtapa,MX,77.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
364,San Policarpo,PH,83.84,few clouds,12.1791,125.5072,JM Lodge
368,Acapulco,MX,79.2,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
370,Itacoatiara,BR,77.25,broken clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
371,Tura,IN,85.24,light rain,25.5198,90.2201,Hotel RIKMAN Continental
374,Morant Bay,JM,82.02,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
376,San Patricio,US,82.24,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
378,Abonnema,NG,76.26,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
385,Luba,GQ,78.69,overcast clouds,3.4568,8.5547,
388,Karachi,PK,89.42,haze,24.9056,67.0822,Sadaat
390,Amahai,ID,80.91,light rain,-3.3333,128.9167,HOTEL ISABELA
392,Canita,PA,77.5,overcast clouds,9.2097,-78.8811,Centro recreativo y turistico el mojao
404,Alwar Tirunagari,IN,88.02,broken clouds,8.6,77.95,Bright cafe
411,Kununurra,AU,89.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
413,Harper,LR,77.77,moderate rain,4.375,-7.7169,Screensaver
417,Lufilufi,WS,85.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
419,Miramar,US,82.02,scattered clouds,25.9873,-80.2323,Miramar
420,Culfa,AZ,76.87,clear sky,38.9558,45.6308,Hotel Araz
425,Wagar,SD,82.81,overcast clouds,16.1525,36.2032,
428,Mitsamiouli,KM,76.71,clear sky,-11.3847,43.2844,Foyer ADM
430,Colon,PA,78.03,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
432,Jiangyou,CN,84.15,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
