City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Amapa,BR,2021-06-14 02:59:58,1.0,-52.0,70.74,99,69,1.79
1,Kodiak,US,2021-06-14 02:59:58,57.79,-152.4072,51.4,78,8,7.76
2,Hilo,US,2021-06-14 02:59:59,19.7297,-155.09,82.27,91,42,3.0
3,Mobaye,CF,2021-06-14 02:59:59,4.319,21.1786,69.33,97,100,1.01
4,Ushuaia,AR,2021-06-14 02:55:35,-54.8,-68.3,37.06,81,75,18.41
5,Czarnkow,PL,2021-06-14 03:00:00,52.9021,16.5641,50.25,94,8,5.26
6,Mahebourg,MU,2021-06-14 02:55:07,-20.4081,57.7,73.69,73,75,12.66
7,Port Alfred,ZA,2021-06-14 03:00:00,-33.5906,26.891,60.12,87,83,13.04
8,Arraial Do Cabo,BR,2021-06-14 03:00:01,-22.9661,-42.0278,69.19,59,59,9.66
9,Okakarara,NA,2021-06-14 03:00:03,-20.5833,17.4333,46.87,46,0,5.95
10,Severobaykalsk,RU,2021-06-14 03:00:04,55.65,109.3167,46.85,77,100,3.91
11,Bredasdorp,ZA,2021-06-14 03:00:06,-34.5322,20.0403,48.2,93,0,1.14
12,Barrow,US,2021-06-14 03:00:07,71.2906,-156.7887,36.45,84,96,15.66
13,Tartus,SY,2021-06-14 03:00:07,34.889,35.8866,67.42,72,0,3.83
14,Ribeira Grande,PT,2021-06-14 03:00:08,38.5167,-28.7,68.4,82,14,1.99
15,Punta Arenas,CL,2021-06-14 03:00:09,-53.15,-70.9167,37.11,76,97,11.5
16,Elat,IL,2021-06-14 03:00:09,29.5581,34.9482,78.64,57,0,13.8
17,Bethel,US,2021-06-14 03:00:01,41.3712,-73.414,67.28,76,84,4.54
18,Rikitea,PF,2021-06-14 03:00:10,-23.1203,-134.9692,75.42,73,100,13.89
19,Puerto Escondido,MX,2021-06-14 03:00:10,15.85,-97.0667,81.43,61,20,0.0
20,Souillac,MU,2021-06-14 03:00:11,-20.5167,57.5167,73.36,67,60,15.99
21,Provideniya,RU,2021-06-14 03:00:11,64.3833,-173.3,36.05,97,100,12.91
22,Hope,US,2021-06-14 03:00:12,33.6671,-93.5916,83.23,64,46,3.02
23,Ferme-Neuve,CA,2021-06-14 03:00:12,46.7001,-75.4493,60.39,68,91,2.57
24,Narsaq,GL,2021-06-14 03:00:12,60.9167,-46.05,43.02,83,14,1.83
25,Kargil,IN,2021-06-14 03:00:13,34.5667,76.1,49.33,54,95,5.57
26,Butaritari,KI,2021-06-14 03:00:13,3.0707,172.7902,82.69,74,27,8.77
27,Vilhena,BR,2021-06-14 03:00:14,-12.7406,-60.1458,72.84,65,97,1.7
28,Oranjestad,AW,2021-06-14 03:00:14,12.524,-70.027,79.86,86,99,23.89
29,Lebu,CL,2021-06-14 03:00:14,-37.6167,-73.65,48.74,78,100,19.01
30,Menongue,AO,2021-06-14 03:00:15,-14.6585,17.691,43.7,56,98,2.62
31,Cape Town,ZA,2021-06-14 02:58:39,-33.9258,18.4232,53.11,99,18,2.3
32,Cabra,ES,2021-06-14 03:00:16,37.4725,-4.4421,71.91,74,0,1.59
33,Pangnirtung,CA,2021-06-14 03:00:16,66.1451,-65.7125,33.8,93,90,11.5
34,Airai,TL,2021-06-14 03:00:17,-8.9266,125.4092,74.84,45,54,3.78
35,Thompson,CA,2021-06-14 03:00:15,55.7435,-97.8558,47.64,85,33,6.78
36,Abonnema,NG,2021-06-14 03:00:17,4.7084,6.7931,76.35,90,86,6.13
37,Carnarvon,AU,2021-06-14 03:00:18,-24.8667,113.6333,68.02,60,2,17.18
38,Bluff,NZ,2021-06-14 03:00:18,-46.6,168.3333,49.8,88,98,4.25
39,Albany,US,2021-06-14 02:55:24,42.6001,-73.9662,68.61,79,84,5.73
40,Nalut,LY,2021-06-14 03:00:19,30.3333,10.85,70.29,34,0,9.75
41,Dubbo,AU,2021-06-14 03:00:19,-32.25,148.6167,57.33,51,11,5.75
42,Jamestown,US,2021-06-14 03:00:20,42.097,-79.2353,67.51,96,6,3.6
43,Vestmannaeyjar,IS,2021-06-14 03:00:20,63.4427,-20.2734,43.23,77,100,7.14
44,Havre-Saint-Pierre,CA,2021-06-14 03:00:21,50.2334,-63.5986,45.81,75,7,1.05
45,Clyde River,CA,2021-06-14 03:00:21,70.4692,-68.5914,30.43,93,90,8.05
46,Qaanaaq,GL,2021-06-14 03:00:22,77.484,-69.3632,31.21,75,57,3.53
47,Bambous Virieux,MU,2021-06-14 03:00:22,-20.3428,57.7575,73.22,60,95,15.77
48,Port Elizabeth,ZA,2021-06-14 03:00:23,-33.918,25.5701,58.8,85,41,11.59
49,Portmore,JM,2021-06-14 03:00:24,17.9702,-76.8672,77.97,79,100,2.68
50,Tuktoyaktuk,CA,2021-06-14 03:00:24,69.4541,-133.0374,34.29,98,100,10.38
51,Hasaki,JP,2021-06-14 03:00:24,35.7333,140.8333,79.29,75,100,9.33
52,Amuntai,ID,2021-06-14 03:00:25,-2.4177,115.2494,88.47,56,96,3.11
53,Nikolskoye,RU,2021-06-14 03:00:25,59.7035,30.7861,59.02,86,82,4.68
