City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Poum,NC,2021-06-14 02:03:26,-20.2333,164.0167,75.02,75,0,4.81
1,Narsaq,GL,2021-06-14 02:03:26,60.9167,-46.05,43.02,83,15,3.42
2,Kenai,US,2021-06-14 02:03:08,60.5544,-151.2583,65.03,62,0,13.38
3,Paamiut,GL,2021-06-14 02:03:27,61.994,-49.6678,37.96,89,25,10.56
4,Bluff,NZ,2021-06-14 02:03:28,-46.6,168.3333,49.8,89,97,4.85
5,Rikitea,PF,2021-06-14 02:03:28,-23.1203,-134.9692,75.38,74,100,13.65
6,Cherskiy,RU,2021-06-14 02:03:28,68.75,161.3,64.06,30,52,6.42
7,Qaanaaq,GL,2021-06-14 02:03:29,77.484,-69.3632,32.36,76,73,2.8
8,Yellowknife,CA,2021-06-14 02:01:26,62.456,-114.3525,64.8,53,1,11.81
9,Ouro Preto Do Oeste,BR,2021-06-14 02:03:29,-10.7481,-62.2158,73.89,69,26,3.27
10,Busselton,AU,2021-06-14 02:03:30,-33.65,115.3333,54.09,65,100,23.17
11,San Lorenzo,PY,2021-06-14 02:03:30,-25.3333,-57.5333,52.74,87,0,0.0
12,Upernavik,GL,2021-06-14 02:03:31,72.7868,-56.1549,35.2,80,100,4.45
13,Golden,US,2021-06-14 02:00:12,39.7555,-105.2211,84.49,50,40,1.99
14,Puerto Suarez,BO,2021-06-14 02:03:31,-18.95,-57.8,64.27,74,0,3.44
15,Sao Filipe,CV,2021-06-14 02:03:32,14.8961,-24.4956,75.2,87,81,11.86
16,Atuona,PF,2021-06-14 02:03:32,-9.8,-139.0333,79.05,80,97,20.74
17,Thompson,CA,2021-06-14 01:59:12,55.7435,-97.8558,53.76,71,75,12.66
18,Jamestown,US,2021-06-14 01:59:39,42.097,-79.2353,68.72,96,9,3.78
19,Heinola,FI,2021-06-14 02:03:33,61.2056,26.0381,51.89,83,20,4.88
20,Saint George,US,2021-06-14 02:00:34,37.1041,-113.5841,104.47,6,1,5.99
21,Albany,US,2021-06-14 01:59:57,42.6001,-73.9662,68.77,76,80,6.42
22,Nanortalik,GL,2021-06-14 02:03:34,60.1432,-45.2371,35.24,89,36,3.13
23,Mataura,NZ,2021-06-14 02:03:34,-46.1927,168.8643,49.48,91,97,3.18
24,Inhambane,MZ,2021-06-14 02:03:34,-23.865,35.3833,63.5,83,0,2.57
25,Husavik,IS,2021-06-14 02:03:35,66.0449,-17.3389,34.16,93,100,6.89
26,Fortuna,US,2021-06-14 02:03:35,40.5982,-124.1573,69.48,69,75,1.01
27,Port Alfred,ZA,2021-06-14 02:03:36,-33.5906,26.891,61.32,85,88,13.56
28,Clyde River,CA,2021-06-14 02:03:36,70.4692,-68.5914,33.06,91,98,8.55
29,Punta Arenas,CL,2021-06-14 02:03:37,-53.15,-70.9167,37.11,74,96,10.29
30,Pevek,RU,2021-06-14 02:03:37,69.7008,170.3133,39.45,72,100,7.7
31,Lajas,PR,2021-06-14 02:03:37,18.05,-67.0593,81.23,81,100,1.01
